window_id,est_start_date,est_end_date,test_start_date,test_end_date,w_rf,w_tsx,portfolio_mean,portfolio_std,portfolio_sharpe,cumulative_wealth,num_test_days,scenario,gamma
1,2015-04-01,2016-04-01,2016-04-04,2016-06-30,0.9999999978868704,2.1129162993391913e-09,2.068181652953448e-05,9.410447247297226e-07,21.97750647342984,1.0013037901362452,63,gaussian,1.0
2,2015-07-02,2016-06-30,2016-07-04,2016-09-30,0.9999999909611019,9.038791715387428e-09,1.9923576226011763e-05,7.444791113903908e-07,26.76176661129209,1.0012559608400942,63,gaussian,1.0
3,2015-10-01,2016-09-30,2016-10-03,2017-01-03,5.19739262712055e-09,0.9999999948024244,0.0001436241681912961,0.0013371483036204376,0.10741079938733945,1.0090318952598876,63,gaussian,1.0
4,2016-01-04,2017-01-03,2017-01-04,2017-04-03,2.7756603257812258e-09,0.9999999972241361,2.901581829846491e-05,0.0013091299135675567,0.022164200815939547,1.0017755542337754,63,gaussian,1.0
5,2016-04-04,2017-04-03,2017-04-04,2017-07-04,2.6541871465588267e-09,0.9999999973456064,-9.156920639729371e-05,0.0014104778770006507,-0.06492069665921564,0.9941851623802933,63,gaussian,1.0
6,2016-07-04,2017-07-04,2017-07-05,2017-10-03,1.552524966919766e-08,0.9999999844742344,0.00011846796282191114,0.0008891040338738633,0.13324420799863126,1.007465875738272,63,gaussian,1.0
7,2016-10-03,2017-10-03,2017-10-04,2018-01-04,8.040833383231094e-09,0.999999991958939,0.00012767006450002848,0.0007496359816846483,0.1703094136611706,1.0080572879510563,63,gaussian,1.0
8,2017-01-04,2018-01-04,2018-01-05,2018-04-05,7.350796120079796e-08,0.9999999264917667,-0.00018641095351502074,0.001634109180279593,-0.11407496865241659,0.9882405253850244,63,gaussian,1.0
9,2017-04-04,2018-04-05,2018-04-06,2018-07-05,0.9999999929423944,7.05718673883482e-09,4.815075915009201e-05,3.189526571949232e-06,15.09652234082671,1.0030380299634134,63,gaussian,1.0
10,2017-07-05,2018-07-05,2018-07-06,2018-10-04,1.4084929667664588e-08,0.999999985914756,-4.889406350591189e-05,0.0011690001702380091,-0.04182554010745527,0.9968814154363577,63,gaussian,1.0
11,2017-10-04,2018-10-04,2018-10-05,2019-01-07,0.9999999957044375,4.295279140888444e-09,6.778738126224127e-05,1.762385619153641e-07,384.63421697003594,1.0042795916878264,63,gaussian,1.0
12,2018-01-05,2019-01-07,2019-01-08,2019-04-05,0.9999999986539565,1.3457688548575903e-09,6.618307466335414e-05,9.69823279967164e-07,68.24240666360879,1.0041780997268779,63,gaussian,1.0
13,2018-04-06,2019-04-05,2019-04-08,2019-07-08,0.9999999907205669,9.279232600078908e-09,6.640620358639767e-05,1.698784330475758e-07,390.9042625075314,1.0041922147733806,63,gaussian,1.0
14,2018-07-06,2019-07-08,2019-07-09,2019-10-07,0.9999999970733615,2.9263238141427766e-09,6.463394498685204e-05,1.211106905181876e-06,53.36766284653107,1.0040801079695958,63,gaussian,1.0
15,2018-10-05,2019-10-07,2019-10-08,2020-01-08,0.9999999964988193,3.5009197856140374e-09,6.533438058910401e-05,2.567879612273282e-12,25442929.752950937,1.0041244136020357,63,gaussian,1.0
16,2019-01-08,2020-01-08,2020-01-09,2020-04-07,5.1426364061739924e-08,0.999999948573107,-0.0006434046768376935,0.010349361068895023,-0.06216854089393446,0.9570214056365581,63,gaussian,1.0
17,2019-04-08,2020-04-07,2020-04-08,2020-07-08,0.9999999981382001,1.861484301604753e-09,8.953066674347469e-06,8.062224389102951e-07,11.104958436096863,1.0005641997559087,63,gaussian,1.0
