date,filtered_mean,filtered_variance,simple_return
2015-04-01,0.0012924682032647468,1.9305657962604916e-9,0.00129330380024828
2015-04-02,0.0014930741249179784,1.5121211629182375e-9,0.0014941893150406393
2015-04-06,0.0013152336889665451,6.692212775426337e-10,0.001316098988110026
2015-04-07,0.001294492452126109,7.539403927664576e-10,0.0012953306691299016
2015-04-08,8.390234790175496e-4,5.074367474223093e-10,8.393755576772133e-4
2015-04-09,0.0011700327301105403,7.53767564595692e-10,0.001170717485441397
2015-04-10,0.001077743533855444,3.9682818928910414e-10,0.001078324508112738
2015-04-13,5.087601033032797e-4,5.800567811030662e-10,5.088895436751173e-4
2015-04-14,3.7732109628894515e-4,5.350099944878202e-10,3.7739229084787773e-4
2015-04-15,7.498569147069381e-4,5.221523592251173e-10,7.501381276886487e-4
2015-04-16,-2.5386350378347718e-5,5.832373398360622e-10,-2.5386028147722506e-5
2015-04-17,-8.548261640924592e-5,3.4959587308513203e-10,-8.547896287447454e-5
2015-04-20,5.105146472704226e-4,6.310867445451434e-10,5.106449820513337e-4
2015-04-21,-1.315677811380599e-4,6.1523333507524e-10,-1.3155912647710988e-4
2015-04-22,-2.381450502052766e-4,5.981710038723795e-10,-2.3811669592366247e-4
2015-04-23,6.373864413952083e-4,7.451668549254236e-10,6.375896152974736e-4
2015-04-24,5.154757791546925e-4,3.736734819569118e-10,5.156086596254106e-4
2015-04-27,-1.2346577963622582e-4,6.669814231325757e-10,-1.2345815805048233e-4
2015-04-28,1.1363589761661562e-4,3.910695117363788e-10,1.1364235441990722e-4
2015-04-29,1.968852374904521e-4,4.509094601060981e-10,1.969046206609093e-4
2015-04-30,-4.474897291453667e-4,8.161658113291581e-10,-4.4738962054957643e-4
2015-05-01,6.425693194260714e-4,9.999048502466348e-10,6.4277581131722e-4
2015-05-04,6.190108338347282e-4,5.960588862970861e-10,6.192024605786717e-4
2015-05-05,-2.439935516431323e-4,9.012693143124059e-10,-2.439637876372469e-4
2015-05-06,-6.660302836378995e-4,1.062662043315885e-9,-6.658085347017728e-4
2015-05-07,3.744080681727208e-4,5.889608245801961e-10,3.7447816762181674e-4
2015-05-08,8.747378581695253e-4,6.490331906283733e-10,8.751205529076156e-4
2015-05-11,3.254968110160859e-4,6.348381883915759e-10,3.255497908511984e-4
2015-05-12,-3.7222312321065964e-4,7.94286558485296e-10,-3.7215385677835666e-4
2015-05-13,-4.875545743030401e-4,3.6280076109868823e-10,-4.874357388853223e-4
2015-05-14,3.303357800509894e-4,4.895153752792066e-10,3.303903469231706e-4
2015-05-15,8.46924424555476e-4,6.966035723446066e-10,8.472831663144387e-4
2015-05-19,5.705233227786281e-4,5.39914821661325e-10,5.70686102164597e-4
2015-05-20,-5.3558879537907015e-6,6.42216064608591e-10,-5.355873611057049e-6
2015-05-21,8.448919397150666e-4,8.637645757992783e-10,8.452489614512171e-4
2015-05-22,4.3800013007003257e-4,5.189851457664292e-10,4.3809606613320895e-4
2015-05-25,2.0167173130128347e-4,3.5960103950446273e-10,2.0169206841202936e-4
2015-05-26,-4.425835258492025e-4,8.258518502112764e-10,-4.4248560020776484e-4
2015-05-27,4.319642981117168e-4,5.850711631140592e-10,4.3205760812425886e-4
2015-05-28,2.753932955494928e-4,6.129977828120152e-10,2.75431219764366e-4
2015-05-29,-3.380740403080236e-4,7.621449825287726e-10,-3.3801689971912907e-4
2015-06-01,4.702724906298846e-4,5.149595132363387e-10,4.703830860735003e-4
2015-06-02,5.766473287262706e-4,4.1275076185960177e-10,5.768136217596531e-4
2015-06-03,7.67251319138915e-4,5.881812760955069e-10,7.675457317235512e-4
2015-06-04,-2.013617046983194e-4,1.1535931959773728e-9,-2.0134143279093575e-4
2015-06-05,-4.2189694533576285e-4,1.1451472138910947e-9,-4.2180795933421944e-4
2015-06-08,-6.770304597482168e-4,1.1574816321605435e-9,-6.768013263395156e-4
2015-06-09,4.287322749301658e-4,5.959979302524083e-10,4.2882419374756786e-4
2015-06-10,8.512453573794774e-4,4.77304576972028e-10,8.516077695353008e-4
2015-06-11,3.965960653963356e-5,7.280966472529877e-10,3.966039299219126e-5
2015-06-12,-4.4435666745908065e-4,1.0239388840230474e-9,-4.442579556567239e-4
2015-06-15,9.862326018955639e-5,5.203416231510644e-10,9.862812362326778e-5
2015-06-16,1.5184895846241873e-4,4.469042318858835e-10,1.5186048809900932e-4
2015-06-17,2.8158580441081887e-5,4.315810434796966e-10,2.8158976897563193e-5
2015-06-18,4.657022732393692e-4,4.847332837674096e-10,4.6581072937845747e-4
2015-06-19,-3.1619101835995294e-4,6.230421961250655e-10,-3.1614103524812975e-4
2015-06-22,7.362438216772209e-4,9.552309932970684e-10,7.365149156859374e-4
2015-06-23,0.001153254785994198,6.151698521352032e-10,0.00115392004000614
2015-06-24,9.395789460524866e-4,4.0688730342170586e-10,9.400204886276242e-4
2015-06-25,1.2506914381082193e-4,4.5086021088401225e-10,1.2507696528230028e-4
2015-06-26,-4.084965632679679e-4,4.816275166769826e-10,-4.084131399066937e-4
2015-06-29,-5.326877521891227e-4,1.3012224992803005e-9,-5.325458992573306e-4
2015-06-30,4.314798364735234e-4,7.655380935222472e-10,4.315729372881272e-4
2015-07-02,9.26656527542889e-4,9.720071658435333e-10,9.270860063523845e-4
2015-07-03,8.739676799975795e-4,5.318785881401029e-10,8.743497010337276e-4
2015-07-06,-8.971396697757619e-5,5.783989024163332e-10,-8.970994279999811e-5
2015-07-07,3.7607849981905747e-4,5.279686847817195e-10,3.7614922620399227e-4
2015-07-08,-3.068798525904565e-4,1.035393974910587e-9,-3.068327697848261e-4
2015-07-09,-6.912435567046023e-4,7.309024874463063e-10,-6.910047029158317e-4
2015-07-10,5.653654506686777e-4,1.0889890972004586e-9,5.655252998379989e-4
2015-07-13,0.0011046917848731063,6.358523101792825e-10,0.0011053021815889963
2015-07-14,0.0011055984738901196,6.776684225722546e-10,0.001106209873182884
2015-07-15,0.0010731073024534755,5.916507286366641e-10,0.0010736832881077518
2015-07-16,0.0010943490674894946,6.044025620138738e-10,0.0010949480859221428
2015-07-17,1.201894760947573e-5,7.762276795727865e-10,1.2019019837383738e-5
2015-07-20,-4.7461491221097065e-4,1.1217152171151461e-9,-4.745023003699389e-4
2015-07-21,-4.6019542219146706e-4,6.523186655242421e-10,-4.600895485196155e-4
2015-07-22,-5.653738500458821e-4,8.159776372741508e-10,-5.652140563665586e-4
2015-07-23,-4.325276841106137e-4,7.659082552113909e-10,-4.324341574966084e-4
2015-07-24,-6.04835263789613e-4,6.462415527102251e-10,-6.046523878132648e-4
2015-07-27,-7.820264385924469e-4,8.573243585913339e-10,-7.817207356115574e-4
2015-07-28,4.1017939445324957e-4,7.202044073918174e-10,4.1026352952422407e-4
2015-07-29,9.805089869717397e-4,9.05775063749313e-10,9.809898430568342e-4
2015-07-30,0.001156848140731948,6.263291692466231e-10,0.0011575175476514765
2015-07-31,0.0012300849869880085,8.443427579776937e-10,0.001230841851829867
2015-08-04,8.153386604879691e-4,3.7482944292677374e-10,8.156711394085026e-4
2015-08-05,5.552919239936215e-4,5.517573752841187e-10,5.554461270953492e-4
2015-08-06,-2.45344095300173e-4,6.742464721365693e-10,-2.4531400089888855e-4
2015-08-07,-6.131181462408164e-4,5.358907157441987e-10,-6.129302277175785e-4
2015-08-10,5.950935384241203e-4,9.255623413075507e-10,5.952706417131637e-4
2015-08-11,-4.778510852633034e-5,7.818402846574048e-10,-4.778396683624564e-5
2015-08-12,-4.300889659520096e-4,8.179175658451546e-10,-4.2999649095065706e-4
2015-08-13,-6.834864875714619e-4,7.732325647240479e-10,-6.832529638886031e-4
2015-08-14,2.1835658072955424e-4,5.564662332316617e-10,2.1838042226307586e-4
2015-08-17,-9.405235729597228e-6,5.516018323872151e-10,-9.40519150050001e-6
2015-08-18,-3.1769475655870467e-4,7.282355653748766e-10,-3.1764429692326956e-4
2015-08-19,-6.767851720239261e-4,8.878570952730366e-10,-6.765562045961682e-4
2015-08-20,-6.674831044650152e-4,1.0357448072929657e-9,-6.672603871737959e-4
2015-08-21,-7.086896513370237e-4,9.233666552264038e-10,-7.084385901376944e-4
2015-08-24,-5.443581262871616e-4,7.394214602033333e-10,-5.44209990283262e-4
2015-08-25,6.061656613416001e-4,9.315379025820708e-10,6.063494168728756e-4
2015-08-26,0.001037919441491351,8.006717238960074e-10,0.0010384582662776864
2015-08-27,0.0010431878114017055,7.269915217084967e-10,0.0010437321210625683
2015-08-28,0.0012658064200571154,7.137789252418958e-10,0.0012666078911369727
2015-08-31,5.722365758230094e-4,5.581516122574925e-10,5.724003344071971e-4
2015-09-01,-4.595905009471585e-6,7.551771120787038e-10,-4.5958944483448505e-6
2015-09-02,6.764882500396288e-4,3.9538967748005903e-10,6.7671711982209e-4
2015-09-03,8.587110843716893e-4,3.389038855726302e-10,8.590798822909473e-4
2015-09-04,-1.6527488070394914e-4,8.90297536644609e-10,-1.6526122356330664e-4
2015-09-08,8.001264682669445e-4,1.205921116298948e-9,8.004466548403588e-4
2015-09-09,-1.7861412715619866e-4,7.870807283971233e-10,-1.7859817660270672e-4
2015-09-10,4.22350212006718e-4,5.8887633443888e-10,4.2243941441522104e-4
2015-09-11,-3.448506252055378e-4,5.616675474689487e-10,-0.00034479117106311907
2015-09-14,-6.821380731920169e-4,6.228930616185283e-10,-6.819054699087612e-4
2015-09-15,5.595353813052758e-4,7.654051040807853e-10,5.596919504273767e-4
2015-09-16,9.224063588899045e-4,7.405637334059376e-10,9.228319064678026e-4
2015-09-17,7.125162158906461e-4,6.427042101891445e-10,7.127701158686772e-4
2015-09-18,-2.252473148718462e-4,7.473807848390576e-10,-2.2522194859997402e-4
2015-09-21,7.731641154727575e-4,8.015437604213711e-10,7.734630838931444e-4
2015-09-22,-1.7204325131594167e-5,8.554513831454975e-10,-1.720417713801936e-5
